N,P,K,temperature,humidity,ph,rainfall,label
29.2,72.8,17.7,28.67,52.51,5.62,135.75,Pigeonpeas
24.1,80.9,24.2,28.33,58.79,6.01,145.82,Pigeonpeas
22.4,66.8,13.9,27.21,38.16,5.77,170.52,Pigeonpeas
21.8,72.7,8.7,25.81,44.95,5.31,154.7,Pigeonpeas
22.0,68.7,18.2,30.32,43.69,6.36,117.18,Pigeonpeas
10.4,77.1,22.2,31.84,52.43,6.96,136.2,Pigeonpeas
18.6,63.0,24.8,26.49,41.8,5.9,134.32,Pigeonpeas
24.2,73.2,18.1,26.17,52.64,5.35,147.57,Pigeonpeas
19.8,66.6,18.4,28.93,56.32,5.03,160.15,Pigeonpeas
13.0,67.6,24.6,26.8,52.27,5.93,159.96,Pigeonpeas
19.7,68.6,12.5,27.35,49.8,6.35,105.1,Pigeonpeas
28.5,69.8,18.4,29.55,42.17,6.04,176.1,Pigeonpeas
26.2,67.2,20.8,22.93,43.02,5.8,155.81,Pigeonpeas
19.7,69.5,21.8,31.0,55.6,5.51,184.11,Pigeonpeas
24.8,79.0,18.0,27.88,52.78,5.25,160.6,Pigeonpeas
18.2,74.9,20.1,26.67,47.87,6.22,177.03,Pigeonpeas
11.5,74.1,10.0,27.48,45.59,6.26,161.16,Pigeonpeas
15.4,64.8,17.4,27.61,35.95,5.03,183.16,Pigeonpeas
27.8,61.8,21.8,23.37,41.67,6.59,162.56,Pigeonpeas
18.6,74.7,16.1,31.44,59.57,6.09,147.05,Pigeonpeas
18.8,74.1,20.2,27.8,40.42,6.5,206.31,Pigeonpeas
18.5,78.3,21.8,28.81,49.24,5.13,171.73,Pigeonpeas
29.5,63.8,18.6,30.08,54.14,5.12,163.84,Pigeonpeas
28.1,66.4,20.7,25.15,40.57,5.73,117.59,Pigeonpeas
31.1,56.5,16.1,28.88,49.21,6.05,117.29,Pigeonpeas
19.2,65.3,19.2,27.03,53.73,6.7,156.82,Pigeonpeas
21.5,75.0,22.4,29.82,48.17,6.15,153.14,Pigeonpeas
12.4,64.7,20.6,22.38,65.31,5.68,134.15,Pigeonpeas
27.4,72.5,17.7,27.45,38.09,5.29,153.02,Pigeonpeas
14.2,66.7,20.9,26.19,54.45,6.42,189.22,Pigeonpeas
21.1,70.3,22.9,28.78,47.06,5.32,166.89,Pigeonpeas
14.5,60.0,11.8,28.88,52.73,6.61,120.97,Pigeonpeas
17.1,68.6,24.6,25.93,50.75,5.66,146.71,Pigeonpeas
15.8,47.1,18.7,25.92,43.7,6.6,129.38,Pigeonpeas
17.0,66.7,21.7,27.42,49.47,6.14,139.81,Pigeonpeas
17.3,56.6,24.8,25.46,36.95,5.73,139.16,Pigeonpeas
17.3,76.4,14.5,29.8,51.72,5.54,137.56,Pigeonpeas
24.2,73.4,17.2,26.78,49.89,5.63,118.12,Pigeonpeas
14.5,71.3,18.8,20.43,51.93,6.01,146.31,Pigeonpeas
21.1,78.6,16.9,26.76,54.45,5.84,135.48,Pigeonpeas
26.1,61.4,26.9,25.1,50.31,5.5,76.26,Pigeonpeas
17.4,80.2,16.6,23.62,48.99,5.72,200.82,Pigeonpeas
16.4,74.5,17.8,24.61,42.81,5.84,176.72,Pigeonpeas
18.8,66.3,20.8,27.97,43.83,4.74,140.09,Pigeonpeas
25.9,75.9,15.2,31.02,55.22,6.03,149.97,Pigeonpeas
21.0,60.3,18.4,28.48,56.72,5.31,120.21,Pigeonpeas
17.3,62.2,21.3,26.18,46.67,5.22,191.89,Pigeonpeas
22.4,63.7,18.7,28.84,48.38,4.96,196.93,Pigeonpeas
14.5,64.3,19.6,26.55,42.67,4.9,153.42,Pigeonpeas
23.4,60.6,17.9,25.96,55.14,5.12,175.09,Pigeonpeas
22.0,76.6,13.9,24.81,52.09,5.45,153.88,Pigeonpeas
18.5,66.2,21.3,23.32,59.75,6.78,116.08,Pigeonpeas
15.8,70.5,27.0,26.73,42.83,5.54,139.2,Pigeonpeas
15.6,64.0,20.1,28.1,45.83,5.89,152.8,Pigeonpeas
22.7,55.3,20.9,27.46,49.49,6.0,138.14,Pigeonpeas
26.1,69.9,22.8,26.66,51.98,5.87,144.03,Pigeonpeas
16.8,54.6,14.9,25.34,46.81,5.76,147.22,Pigeonpeas
22.3,67.5,26.8,29.22,42.86,5.2,147.48,Pigeonpeas
9.6,58.4,20.8,24.41,53.39,6.53,150.81,Pigeonpeas
17.1,81.9,26.5,29.64,52.43,6.7,122.98,Pigeonpeas
19.8,74.4,17.1,25.19,42.6,4.96,131.57,Pigeonpeas
15.5,68.7,27.3,25.82,56.23,5.29,117.39,Pigeonpeas
15.3,76.8,23.1,24.03,55.12,5.66,173.95,Pigeonpeas
16.7,62.1,22.2,26.45,48.91,5.32,96.86,Pigeonpeas
21.5,71.8,20.9,30.14,48.58,6.05,178.34,Pigeonpeas
19.1,69.4,19.0,28.99,51.42,5.44,184.16,Pigeonpeas
8.8,69.8,24.8,30.15,42.93,6.88,141.95,Pigeonpeas
9.4,76.9,20.6,29.01,48.28,6.4,84.42,Pigeonpeas
17.0,73.1,12.1,24.94,35.19,5.91,140.47,Pigeonpeas
22.3,70.0,15.5,26.87,53.36,6.31,147.9,Pigeonpeas
6.3,56.4,19.3,25.75,38.73,6.35,124.24,Pigeonpeas
17.5,61.3,21.2,31.03,57.12,5.52,136.62,Pigeonpeas
17.4,67.1,19.8,24.71,46.12,5.39,187.75,Pigeonpeas
26.9,68.7,24.9,29.93,46.83,5.84,166.12,Pigeonpeas
18.1,60.1,12.2,29.93,44.33,6.23,126.39,Pigeonpeas
21.9,84.9,20.6,32.27,46.37,5.87,109.56,Pigeonpeas
20.7,78.6,12.7,26.68,56.61,5.01,141.32,Pigeonpeas
9.3,72.2,23.0,29.48,33.17,5.4,144.16,Pigeonpeas
23.8,68.5,19.6,33.4,55.76,5.76,161.9,Pigeonpeas
21.1,66.5,21.7,26.16,50.13,5.76,136.12,Pigeonpeas
22.5,61.3,16.5,23.86,40.86,6.79,162.29,Pigeonpeas
39.6,68.5,25.1,23.0,41.65,5.11,197.88,Pigeonpeas
9.6,69.8,24.2,29.48,58.16,6.05,169.89,Pigeonpeas
28.6,59.3,22.3,22.99,42.43,6.54,148.3,Pigeonpeas
18.6,70.3,19.5,26.77,41.18,6.94,144.92,Pigeonpeas
21.4,66.9,22.3,28.79,54.92,5.6,140.58,Pigeonpeas
26.9,41.4,24.3,24.73,49.86,6.37,36.2,Mothbeans
17.9,42.2,25.8,24.2,52.42,6.78,43.41,Mothbeans
21.2,64.4,16.3,25.16,63.21,6.81,64.71,Mothbeans
21.3,48.0,16.7,28.6,47.54,7.04,60.06,Mothbeans
18.5,54.3,19.4,25.97,62.89,6.12,50.57,Mothbeans
14.1,41.7,21.2,29.48,51.27,7.1,53.63,Mothbeans
22.6,41.8,17.9,28.29,61.15,5.45,48.26,Mothbeans
20.7,56.7,25.4,23.28,44.76,6.49,64.77,Mothbeans
23.5,37.2,21.7,29.84,56.72,6.56,49.2,Mothbeans
18.3,44.7,20.2,30.23,48.78,7.12,53.52,Mothbeans
27.1,48.3,14.3,25.72,44.71,6.81,62.66,Mothbeans
16.6,48.9,14.7,29.25,54.51,6.1,43.43,Mothbeans
29.6,46.6,21.1,26.06,59.26,6.31,66.79,Mothbeans
12.3,51.2,11.5,28.44,48.13,6.9,35.9,Mothbeans
23.2,53.5,24.1,25.04,44.21,6.76,67.5,Mothbeans
23.4,53.9,19.4,23.72,52.65,6.51,47.47,Mothbeans
17.0,40.1,33.0,27.24,52.68,6.56,48.77,Mothbeans
23.1,45.7,29.2,27.89,56.49,7.15,32.3,Mothbeans
27.4,57.6,19.3,27.21,58.9,6.54,46.65,Mothbeans
9.9,55.2,19.6,25.24,52.84,6.76,40.8,Mothbeans
23.5,37.0,24.0,27.2,64.33,7.88,45.12,Mothbeans
8.5,50.8,26.8,28.87,54.55,6.09,49.83,Mothbeans
16.2,32.2,13.4,28.09,51.12,5.87,60.78,Mothbeans
29.1,48.4,12.9,28.66,43.53,7.19,53.28,Mothbeans
18.1,63.2,17.5,26.52,51.62,6.46,54.28,Mothbeans
15.1,40.4,22.3,31.13,51.18,6.64,40.24,Mothbeans
20.0,41.3,22.0,25.26,58.96,6.41,42.39,Mothbeans
31.3,54.1,24.3,29.42,55.97,6.67,69.19,Mothbeans
11.8,35.7,15.2,31.15,46.12,7.6,43.85,Mothbeans
15.7,42.9,10.7,29.4,54.23,7.2,67.76,Mothbeans
28.5,52.8,23.4,27.69,57.23,7.23,48.77,Mothbeans
30.3,42.9,16.7,26.88,62.37,6.09,51.22,Mothbeans
20.5,46.1,11.9,30.79,58.53,6.22,61.9,Mothbeans
14.8,54.0,20.6,24.64,57.77,5.38,63.92,Mothbeans
31.5,51.4,23.2,25.77,53.56,6.4,50.09,Mothbeans
29.0,50.1,19.5,27.21,55.53,7.28,47.32,Mothbeans
24.4,45.3,18.2,31.29,60.7,7.06,50.64,Mothbeans
16.9,51.0,19.4,29.15,45.2,6.69,54.58,Mothbeans
20.8,47.0,18.5,25.78,51.1,6.79,60.11,Mothbeans
20.2,51.7,14.6,27.42,48.56,6.46,51.24,Mothbeans
22.7,44.0,17.1,26.66,55.47,6.9,57.39,Mothbeans
28.3,46.5,22.1,26.43,60.58,7.18,67.58,Mothbeans
25.4,40.1,21.3,30.65,49.62,5.99,55.01,Mothbeans
15.6,47.7,20.7,24.77,38.86,6.95,54.32,Mothbeans
27.9,41.5,16.0,32.22,50.73,7.27,36.01,Mothbeans
22.6,39.1,19.3,30.27,58.68,6.59,24.89,Mothbeans
24.4,50.1,11.3,30.93,56.43,7.15,55.08,Mothbeans
28.3,49.7,20.7,27.04,55.77,8.21,50.25,Mothbeans
15.4,54.3,25.7,27.83,51.52,6.75,46.05,Mothbeans
20.8,44.6,14.1,24.62,45.53,7.0,53.64,Mothbeans
18.3,51.3,17.7,26.89,56.29,6.43,50.6,Mothbeans
13.2,52.4,21.3,29.43,48.19,6.89,62.48,Mothbeans
22.7,51.6,25.0,31.44,66.3,7.03,52.06,Mothbeans
33.6,41.4,18.2,25.43,56.62,6.9,43.73,Mothbeans
11.8,49.2,17.2,27.29,49.72,6.29,61.1,Mothbeans
20.8,50.9,12.1,27.82,49.53,6.9,49.03,Mothbeans
24.2,48.1,20.4,24.71,52.64,7.53,56.47,Mothbeans
21.6,31.3,28.2,29.68,51.76,7.02,46.43,Mothbeans
20.4,49.3,21.1,26.39,59.9,7.28,44.7,Mothbeans
14.5,65.7,19.9,27.71,54.32,6.68,52.04,Mothbeans
22.2,45.1,21.3,27.07,48.81,7.17,51.33,Mothbeans
17.2,42.2,20.0,26.23,64.54,6.94,56.0,Mothbeans
10.1,51.0,16.7,28.18,53.5,6.32,48.51,Mothbeans
27.0,50.5,23.3,27.66,57.81,6.96,32.84,Mothbeans
25.8,57.5,20.9,27.27,49.55,6.3,46.87,Mothbeans
21.3,37.9,20.1,26.38,55.38,6.48,59.14,Mothbeans
22.1,53.9,16.1,29.0,55.07,6.89,48.23,Mothbeans
26.4,52.7,25.2,32.33,41.86,6.95,48.74,Mothbeans
22.1,46.9,22.7,28.55,65.29,6.21,61.06,Mothbeans
25.5,50.7,17.8,30.69,60.94,7.33,44.08,Mothbeans
19.5,56.2,24.0,24.72,50.82,7.09,35.77,Mothbeans
27.6,55.0,18.0,28.59,46.59,6.45,49.59,Mothbeans
22.6,38.9,16.9,25.46,55.29,6.03,46.36,Mothbeans
22.0,54.6,17.0,24.51,53.72,6.73,41.54,Mothbeans
14.6,47.5,12.9,26.35,55.33,6.58,49.45,Mothbeans
22.4,48.6,21.9,31.18,54.35,6.86,56.12,Mothbeans
16.8,48.6,12.7,30.58,56.24,6.62,51.11,Mothbeans
17.8,46.8,15.1,28.81,61.88,5.8,54.27,Mothbeans
16.9,57.5,11.7,24.37,56.61,6.61,69.33,Mothbeans
15.7,47.3,19.7,27.71,46.9,6.65,47.77,Mothbeans
31.6,39.0,19.4,28.95,61.38,7.12,53.98,Mothbeans
27.7,44.9,18.7,28.64,63.04,6.45,46.11,Mothbeans
30.6,49.4,15.8,23.59,72.11,7.64,42.74,Mothbeans
14.9,57.8,15.3,25.97,46.46,5.84,45.35,Mothbeans
21.4,52.8,21.9,28.04,54.66,7.46,46.41,Mothbeans
14.5,41.2,17.8,29.54,40.71,6.69,54.79,Mothbeans
17.5,67.9,21.3,22.71,56.52,7.23,74.69,Mothbeans
16.4,50.1,16.5,27.79,49.91,6.84,44.04,Mothbeans
27.2,58.2,20.7,28.56,64.74,7.37,47.03,Mothbeans
19.0,46.8,25.2,30.32,48.55,6.61,50.57,Mothbeans
26.3,52.3,22.3,29.93,43.06,6.25,55.16,Mothbeans
24.0,54.7,18.4,29.66,50.37,7.51,53.84,Mothbeans
32.5,57.7,21.0,26.2,41.35,6.74,64.04,Mothbeans
13.6,56.5,19.0,23.43,57.71,6.91,26.94,Mothbeans
27.3,55.0,20.0,27.22,40.81,7.42,27.33,Mothbeans
26.7,45.5,18.7,30.7,53.37,6.28,46.24,Mothbeans
16.1,43.4,19.3,31.68,40.73,7.1,62.17,Mothbeans
26.0,50.7,20.8,29.98,51.28,6.51,35.54,Mothbeans
22.7,55.5,16.0,29.27,63.06,6.73,21.12,Mothbeans
19.9,46.2,15.9,29.15,55.36,6.84,56.91,Mothbeans
22.2,44.6,21.9,26.58,84.64,6.3,52.46,Mungbean
15.5,37.1,24.3,25.79,89.25,6.12,47.94,Mungbean
16.1,40.2,16.5,25.33,92.04,6.97,37.24,Mungbean
16.2,53.6,21.4,29.33,90.75,6.93,42.74,Mungbean
21.6,37.5,19.5,28.07,81.13,6.93,46.3,Mungbean
17.9,35.2,23.4,29.26,84.49,6.65,35.63,Mungbean
23.5,43.0,19.5,29.88,84.12,7.26,42.49,Mungbean
6.7,53.9,18.5,29.03,87.46,6.51,53.62,Mungbean
16.7,46.4,22.2,29.82,88.25,7.08,59.82,Mungbean
15.4,44.3,23.5,28.36,82.14,6.68,45.04,Mungbean
19.7,48.4,17.3,26.13,85.77,6.46,54.45,Mungbean
18.3,34.0,19.8,30.62,77.42,6.94,33.09,Mungbean
25.0,52.0,15.8,27.32,91.27,6.86,53.68,Mungbean
11.7,51.1,10.0,26.63,83.45,6.84,41.97,Mungbean
21.2,44.7,20.8,28.14,85.72,6.73,50.86,Mungbean
23.8,56.0,22.4,26.67,84.26,6.68,46.42,Mungbean
30.3,39.0,21.0,27.67,90.08,7.66,58.96,Mungbean
18.6,57.0,12.2,29.19,74.15,7.17,41.4,Mungbean
22.6,49.2,18.6,29.2,85.43,6.99,53.42,Mungbean
12.0,45.3,11.1,26.7,85.08,6.74,46.16,Mungbean
9.0,47.8,25.5,27.52,83.69,7.1,47.13,Mungbean
25.2,47.1,15.7,30.65,92.4,6.91,46.93,Mungbean
21.0,57.8,25.0,29.49,81.95,6.71,41.63,Mungbean
26.9,39.4,23.8,32.65,88.59,6.58,48.29,Mungbean
14.1,41.9,16.4,30.86,86.93,6.67,47.9,Mungbean
23.6,56.3,15.5,30.79,90.55,5.43,50.33,Mungbean
30.3,43.2,21.4,25.72,82.83,6.78,49.08,Mungbean
23.1,55.2,16.6,30.03,82.57,6.5,54.78,Mungbean
22.4,61.6,20.4,28.39,89.88,7.34,55.79,Mungbean
21.0,44.8,18.1,27.4,87.2,6.71,40.0,Mungbean
13.1,53.5,12.9,28.84,79.32,6.22,55.35,Mungbean
27.8,38.8,11.1,30.39,83.34,6.68,38.91,Mungbean
17.9,54.0,20.9,29.5,87.05,6.28,53.1,Mungbean
23.5,49.6,17.8,26.74,88.85,6.89,53.36,Mungbean
13.2,51.8,17.8,29.98,82.78,6.82,33.11,Mungbean
15.1,42.8,22.8,27.22,73.84,7.08,49.14,Mungbean
28.2,34.7,24.7,28.93,87.59,6.38,44.65,Mungbean
19.3,52.0,18.9,27.89,80.62,6.71,42.33,Mungbean
28.3,31.5,18.6,28.06,77.43,6.15,59.21,Mungbean
20.6,45.5,22.0,30.03,74.17,6.98,43.17,Mungbean
11.8,55.5,14.6,26.42,88.76,6.91,41.95,Mungbean
25.5,49.5,20.9,32.39,86.01,6.9,49.01,Mungbean
18.1,63.6,22.2,24.86,84.6,6.7,53.88,Mungbean
24.5,56.2,22.7,27.3,91.06,6.87,47.27,Mungbean
21.1,42.8,12.3,29.24,88.05,7.34,57.73,Mungbean
13.3,48.2,17.0,29.67,91.97,6.59,52.65,Mungbean
21.8,47.6,16.5,28.3,79.93,6.76,30.97,Mungbean
32.0,35.3,20.4,28.39,85.36,6.27,44.16,Mungbean
23.5,40.5,21.9,29.32,79.03,6.35,43.91,Mungbean
20.7,43.5,26.0,28.04,84.58,6.74,52.23,Mungbean
26.4,31.7,18.0,31.29,84.51,7.14,27.4,Mungbean
22.1,48.4,18.0,30.18,88.01,6.6,68.79,Mungbean
22.0,46.0,24.6,30.25,85.68,6.61,52.65,Mungbean
15.5,34.6,21.2,26.57,87.99,6.54,49.59,Mungbean
22.2,51.2,25.1,28.34,88.31,6.49,57.85,Mungbean
26.2,53.7,21.2,27.9,94.12,6.82,67.15,Mungbean
16.8,49.8,15.4,26.49,84.24,6.1,55.37,Mungbean
28.1,45.4,14.7,29.22,81.74,7.21,55.99,Mungbean
20.5,52.7,13.8,27.42,86.48,6.43,49.45,Mungbean
16.6,53.4,22.6,29.81,82.29,6.99,47.27,Mungbean
26.0,50.5,24.8,26.36,91.43,6.19,44.59,Mungbean
19.6,41.4,27.4,31.94,84.37,6.97,41.79,Mungbean
24.8,50.2,23.4,26.71,83.24,6.97,42.9,Mungbean
19.5,57.6,24.7,28.94,83.61,6.85,37.6,Mungbean
20.7,43.2,17.7,30.08,88.37,6.3,47.79,Mungbean
23.5,64.8,15.4,27.36,84.87,6.8,34.92,Mungbean
22.5,43.8,23.4,30.2,82.93,6.23,49.93,Mungbean
11.0,48.3,21.7,26.04,92.16,6.6,48.11,Mungbean
15.4,42.6,20.4,31.4,82.08,7.11,49.58,Mungbean
25.6,49.8,21.5,28.53,85.64,7.02,44.22,Mungbean
20.3,34.1,21.3,27.31,88.11,6.71,73.01,Mungbean
18.4,43.6,25.1,27.9,78.97,6.31,59.28,Mungbean
14.2,39.3,25.2,30.12,87.42,6.96,38.44,Mungbean
15.6,49.1,22.2,27.33,81.28,6.71,50.26,Mungbean
10.9,56.0,23.4,27.0,88.79,5.77,43.54,Mungbean
20.5,53.2,22.1,28.06,81.65,7.01,40.28,Mungbean
18.0,29.0,18.2,26.15,88.27,6.69,37.68,Mungbean
16.2,64.3,23.0,32.14,89.92,7.18,51.86,Mungbean
20.7,50.4,14.4,27.37,88.95,6.26,42.95,Mungbean
22.8,41.8,24.2,30.16,86.51,5.43,56.14,Mungbean
31.5,49.3,15.2,28.92,84.57,6.81,56.35,Mungbean
13.4,49.4,21.1,26.53,83.19,6.82,59.39,Mungbean
26.8,42.7,16.6,28.49,91.38,6.02,41.58,Mungbean
25.9,49.6,22.2,30.07,82.7,6.31,52.2,Mungbean
17.1,43.1,19.9,28.12,81.35,7.8,53.46,Mungbean
22.0,44.8,13.6,30.89,88.16,6.58,44.61,Mungbean
18.7,42.5,21.7,30.54,82.32,6.99,42.23,Mungbean
21.9,36.5,17.7,30.34,81.7,6.44,61.28,Mungbean
28.5,49.2,23.5,27.58,79.73,5.86,50.22,Mungbean
24.0,52.7,20.0,26.34,83.57,6.63,53.49,Mungbean
23.5,52.1,21.6,27.27,85.17,6.59,41.82,Mungbean
18.8,54.6,16.2,28.89,86.47,6.54,38.65,Mungbean
13.6,50.6,17.6,29.59,89.31,6.65,43.84,Mungbean
20.0,43.7,18.2,24.16,87.61,6.81,47.41,Mungbean
27.0,54.7,23.4,28.48,84.74,6.64,39.89,Mungbean
13.4,37.1,26.7,28.82,84.71,6.19,48.32,Mungbean
15.7,40.8,16.8,27.94,87.54,6.89,34.89,Mungbean
21.6,40.3,24.3,31.08,90.59,5.92,39.44,Mungbean
16.1,56.6,11.3,29.34,86.01,5.88,53.77,Mungbean
17.0,55.5,15.2,31.12,83.62,7.0,53.23,Mungbean
37.6,64.0,23.1,29.07,63.96,6.62,74.93,Blackgram
33.9,63.8,21.0,28.62,63.44,6.94,73.23,Blackgram
33.8,54.4,20.0,30.27,69.29,7.31,69.55,Blackgram
37.8,64.7,19.3,31.83,67.77,7.14,54.08,Blackgram
43.9,72.1,20.6,35.85,63.71,6.76,63.06,Blackgram
45.6,58.1,19.8,31.97,70.41,7.1,76.32,Blackgram
37.0,74.3,14.9,32.8,64.35,6.49,57.39,Blackgram
33.1,70.4,19.2,28.64,60.74,7.56,42.58,Blackgram
41.6,61.9,14.7,27.34,61.21,7.02,65.63,Blackgram
35.1,66.0,19.3,30.06,60.11,7.55,66.48,Blackgram
36.9,78.2,17.1,30.17,63.64,6.89,69.26,Blackgram
48.0,72.1,29.2,27.2,71.17,6.89,75.19,Blackgram
45.0,67.1,18.8,29.46,60.97,6.79,74.28,Blackgram
40.9,65.3,13.4,30.9,65.94,7.45,70.49,Blackgram
32.4,67.5,18.5,30.8,61.72,6.82,79.86,Blackgram
41.3,63.4,21.1,31.16,63.7,7.36,52.71,Blackgram
46.4,52.3,25.7,30.63,57.45,6.95,72.95,Blackgram
37.7,81.3,16.6,28.63,63.9,6.31,74.17,Blackgram
48.1,68.1,12.7,28.62,64.03,6.87,55.5,Blackgram
47.8,69.8,22.3,26.9,67.7,6.63,52.87,Blackgram
50.0,66.6,13.5,34.36,66.12,7.11,60.44,Blackgram
41.8,61.9,17.3,29.93,59.01,6.62,61.28,Blackgram
43.5,65.7,18.0,29.34,70.42,7.47,75.43,Blackgram
48.5,55.8,18.7,27.58,66.05,7.06,61.75,Blackgram
42.7,82.9,21.8,37.24,65.99,7.03,59.34,Blackgram
37.0,58.4,16.3,27.22,64.95,7.36,61.78,Blackgram
37.3,59.8,17.9,28.83,62.41,7.49,79.09,Blackgram
41.4,63.9,18.9,30.94,66.09,7.09,68.03,Blackgram
32.3,76.0,19.6,31.4,67.38,6.79,66.11,Blackgram
39.1,67.1,19.4,32.29,56.27,6.39,66.8,Blackgram
46.6,58.3,20.7,34.42,62.31,6.83,80.82,Blackgram
26.9,75.8,22.4,31.17,63.73,6.85,60.41,Blackgram
49.2,72.1,20.6,27.26,66.28,7.14,81.06,Blackgram
46.7,70.8,20.8,29.26,70.97,6.96,70.0,Blackgram
37.2,72.0,12.7,30.67,61.14,7.38,66.3,Blackgram
43.3,83.8,19.2,35.07,62.51,6.85,92.91,Blackgram
40.0,82.3,20.9,26.41,62.44,7.08,57.34,Blackgram
47.4,62.2,21.9,32.91,60.99,7.57,64.36,Blackgram
45.9,78.4,16.2,30.35,63.26,7.24,55.58,Blackgram
31.6,69.7,16.4,31.99,68.85,7.08,77.42,Blackgram
43.5,70.5,16.7,29.65,59.73,6.86,84.79,Blackgram
38.8,55.2,21.1,27.79,67.14,6.85,84.6,Blackgram
40.5,65.8,23.1,31.78,56.49,6.76,80.14,Blackgram
35.6,61.3,17.4,31.54,62.19,6.88,65.92,Blackgram
50.5,72.8,22.6,32.33,63.35,7.4,64.25,Blackgram
46.2,74.5,19.5,29.87,73.37,7.01,51.19,Blackgram
35.6,52.5,18.5,28.4,63.63,6.56,88.26,Blackgram
32.0,66.8,18.2,26.0,53.99,7.81,72.59,Blackgram
37.7,74.9,22.0,31.95,55.01,7.23,62.98,Blackgram
42.6,65.7,20.3,30.96,65.17,6.54,81.18,Blackgram
41.4,72.1,28.1,27.49,68.07,6.92,58.17,Blackgram
47.5,69.5,15.6,28.55,66.88,7.14,71.97,Blackgram
44.7,69.4,21.1,28.73,65.84,7.78,66.17,Blackgram
45.8,65.1,16.9,26.19,70.81,6.66,74.29,Blackgram
42.0,58.5,15.5,27.86,62.3,7.49,67.26,Blackgram
31.7,59.1,19.0,27.07,69.47,7.66,53.39,Blackgram
38.8,72.0,19.5,28.87,56.84,6.85,68.66,Blackgram
46.4,67.1,30.7,28.05,60.48,6.99,78.39,Blackgram
39.7,66.0,18.3,25.83,55.96,6.69,67.61,Blackgram
43.0,64.0,14.5,34.96,63.63,7.02,75.65,Blackgram
38.1,64.9,20.1,33.03,64.77,7.09,57.44,Blackgram
33.8,74.3,10.7,27.95,65.57,7.36,67.64,Blackgram
39.3,64.7,18.6,30.58,65.31,7.54,61.65,Blackgram
41.9,57.6,19.1,30.94,60.36,6.8,75.37,Blackgram
36.1,72.2,22.2,32.88,64.05,6.31,68.21,Blackgram
38.6,65.6,22.9,27.85,57.51,7.09,74.8,Blackgram
34.4,67.2,17.0,32.63,71.82,7.22,78.78,Blackgram
46.7,78.3,18.4,28.53,63.48,7.2,74.82,Blackgram
38.2,66.9,15.9,26.56,62.56,6.97,70.63,Blackgram
48.7,69.0,14.5,31.71,72.94,7.15,57.92,Blackgram
49.2,58.7,20.2,33.13,58.79,7.71,67.87,Blackgram
39.5,65.5,13.9,36.37,59.37,7.25,62.57,Blackgram
33.9,71.3,17.3,26.9,59.52,6.95,64.46,Blackgram
27.5,56.1,15.0,31.65,64.66,6.9,64.15,Blackgram
31.2,68.4,21.2,28.88,67.16,7.03,58.1,Blackgram
31.8,67.7,26.2,31.86,68.7,7.75,48.33,Blackgram
48.3,67.3,13.8,26.22,77.86,7.03,61.22,Blackgram
40.7,74.3,11.6,26.74,53.75,7.09,69.83,Blackgram
42.3,69.3,18.5,27.96,68.04,6.91,54.42,Blackgram
26.7,77.3,19.1,30.1,62.21,7.54,68.06,Blackgram
32.8,60.0,19.9,28.3,62.07,7.88,86.9,Blackgram
45.3,68.0,17.2,31.55,61.9,7.28,78.13,Blackgram
41.7,67.6,18.2,32.47,60.46,7.13,84.34,Blackgram
39.1,59.5,20.5,31.4,73.42,7.11,71.81,Blackgram
43.4,73.7,23.2,33.95,69.21,6.15,79.58,Blackgram
49.8,83.3,11.2,30.94,65.12,7.4,60.66,Blackgram
38.7,66.9,17.5,26.86,71.76,7.15,61.46,Blackgram
40.4,70.5,19.9,33.31,57.44,7.27,40.51,Blackgram
41.2,67.6,15.3,28.39,58.35,6.82,79.76,Blackgram
54.4,62.0,25.9,32.18,54.11,6.95,83.3,Blackgram
27.4,54.3,16.5,33.83,61.5,6.94,62.37,Blackgram
44.1,62.1,18.8,31.04,65.81,7.51,65.36,Blackgram
39.3,57.3,21.2,26.16,65.51,6.95,60.36,Blackgram
43.4,78.9,16.6,27.6,65.75,7.93,71.73,Blackgram
36.1,66.2,11.6,33.21,57.94,7.27,79.15,Blackgram
39.7,64.6,17.3,29.48,69.02,6.59,50.47,Blackgram
44.3,73.2,23.1,30.1,66.2,7.05,71.99,Blackgram
58.7,59.1,17.7,31.8,68.67,6.84,65.13,Blackgram
44.8,61.6,15.6,31.64,55.54,6.22,69.03,Blackgram
34.9,67.5,22.7,30.6,66.56,7.74,72.49,Blackgram
18.1,67.8,20.2,24.32,59.23,6.66,41.28,Lentil
18.5,66.5,18.0,18.19,61.65,6.99,36.92,Lentil
17.9,68.4,17.4,24.12,60.09,6.45,64.04,Lentil
23.9,63.8,26.3,27.15,62.06,7.04,60.64,Lentil
21.1,65.6,23.7,22.27,63.73,6.54,36.4,Lentil
20.1,53.4,19.5,23.53,68.99,7.33,58.36,Lentil
12.6,74.8,9.8,24.06,63.19,7.84,42.5,Lentil
17.1,70.1,17.6,17.25,56.87,6.56,46.73,Lentil
23.5,62.6,29.8,28.68,70.5,7.11,45.19,Lentil
19.2,81.3,18.1,22.25,60.61,6.61,40.42,Lentil
22.3,68.6,23.4,25.76,64.51,7.32,53.57,Lentil
27.8,60.7,24.8,24.28,67.03,6.39,46.71,Lentil
24.2,74.0,19.9,27.64,65.8,7.09,41.89,Lentil
19.5,70.8,15.6,25.52,70.27,6.55,35.26,Lentil
